Sensör  RUL Korelasyonu
   s11           -0.696
    s4           -0.679
   s12            0.672
    s7            0.657
   s15           -0.643
   s21            0.636
   s20            0.629
    s2           -0.606
   s17           -0.606
    s3           -0.585
    s8           -0.564
   s13           -0.563
    s9           -0.390
   s14           -0.307
    s6           -0.128
    s1              NaN
    s5              NaN
   s10              NaN
   s16              NaN
   s18              NaN
   s19              NaN
